individualstestedperconfirmedcase,positivecasesfromsamplesreported,samplereportedtoday,source,source1,testedasof,testpositivityrate,testsconductedbyprivatelabs,testsperconfirmedcase,testspermillion,totalindividualstested,totalpositivecases,totalsamplestested,updatetimestamp
,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf,,26/04/2020,,,,500,,,665819,27/04/2020 09:00:00
,,,https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf,,27/04/2020,,,,538,,,716733,28/04/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf,,28/04/2020,,,,578,,,770764,29/04/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf,,29/04/2020,,,,623,,,830201,30/04/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf,,30/04/2020,,,,677,,,902654,01/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf,,01/05/2020,,,,733,,,976363,02/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf,,02/05/2020,,,,785,,,1046450,03/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf,,03/05/2020,,,,831,,,1107233,04/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf,,04/05/2020,,,,894,,,1191946,05/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf,,05/05/2020,,,,958,,,1276781,06/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf,,06/05/2020,,,,1018,,,1357413,07/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf,,07/05/2020,,,,1079,,,1437788,08/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf,,08/05/2020,,,,1143,,,1523213,09/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf,,09/05/2020,,,,1207,,,1609037,10/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf,,10/05/2020,,,,1256,,,1673688,11/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf,,11/05/2020,,,,1320,,,1759579,12/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf,,12/05/2020,,,,1391,,,1854250,13/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf,,13/05/2020,,,,1461,,,1947041,14/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf,,14/05/2020,,,,1530,,,2039952,15/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf,,15/05/2020,,,,1601,,,2134277,16/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf,,16/05/2020,,,,1671,,,2227642,17/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf,,17/05/2020,,,,1728,,,2302792,18/05/2020 09:00:00
,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf,,18/05/2020,,,,1804,,,2404267,19/05/2020 09:00:00
,,108121,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf,,19/05/2020,,,,1885,,,2512388,20/05/2020 09:00:00
,,103532,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf,,20/05/2020,,,,1963,,,2615920,21/05/2020 09:00:00
,,103514,https://t.me/Covid19india_Auxiliary_Test_Data/99,,21/05/2020,,,,2040,,,2719434,22/05/2020 09:00:00
,,115364,https://t.me/Covid19india_Auxiliary_Test_Data/110,,22/05/2020,,,,2127,,,2834798,23/05/2020 09:00:00
,,108623,https://t.me/Covid19india_Auxiliary_Test_Data/129,,23/05/2020,,,,2208,,,2943421,24/05/2020 09:00:00
,,90170,https://t.me/Covid19india_Auxiliary_Test_Data/146,,24/05/2020,,,,2276,,,3033591,25/05/2020 09:00:00
,,92528,https://t.me/Covid19india_Auxiliary_Test_Data/160,,25/05/2020,,,,2345,,,3126119,26/05/2020 09:00:00
,,116041,https://t.me/Covid19india_Auxiliary_Test_Data/177,,26/05/2020,,,,2432,,,3242160,27/05/2020 09:00:00
,,119976,https://t.me/Covid19india_Auxiliary_Test_Data/194,,27/05/2020,,,,2522,,,3362136,28/05/2020 09:00:00
,,121702,https://t.me/Covid19india_Auxiliary_Test_Data/211,,28/05/2020,,,,2614,,,3483838,29/05/2020 09:00:00
,,127761,https://t.me/Covid19india_Auxiliary_Test_Data/228,,29/05/2020,,,,2710,,,3611599,30/05/2020 09:00:00
,,125428,https://t.me/Covid19india_Auxiliary_Test_Data/236,,30/05/2020,,,,2804,,,3737027,31/05/2020 09:00:00
,,100180,https://t.me/Covid19india_Auxiliary_Test_Data/253,,31/05/2020,,,,2879,,,3837207,01/06/2020 09:00:00
,,128868,https://twitter.com/ICMRDELHI/status/1267665101781266433?s=20,,01/06/2020,,,,2976,,,3966075,02/06/2020 09:00:00
,,137158,https://twitter.com/ICMRDELHI/status/1268030064467165184?s=19,,02/06/2020,,,,3078,,,4103233,03/06/2020 09:00:00
,,139485,https://t.me/Covid19india_Auxiliary_Test_Data/294,,03/06/2020,,,,3183,,,4242718,04/06/2020 09:00:00
,,143661,https://t.me/Covid19india_Auxiliary_Test_Data/313,,04/06/2020,,,,3291,,,4386379,05/06/2020 09:00:00
,,137938,https://twitter.com/ICMRDELHI/status/1269111826618302464?s=19,,05/06/2020,,,,3394,,,4524317,06/06/2020 09:00:00
,,142069,https://t.me/Covid19india_Auxiliary_Test_Data/340,,06/06/2020,,,,3501,,,4666386,07/06/2020 09:00:00
,,108048,https://t.me/Covid19india_Auxiliary_Test_Data/355,,07/06/2020,,,,3582,,,4774434,08/06/2020 09:00:00
,,141682,https://t.me/Covid19india_Auxiliary_Test_Data/374,,08/06/2020,,,,3688,,,4916116,09/06/2020 09:00:00
,,145216,https://t.me/Covid19india_Auxiliary_Test_Data/388,,09/06/2020,,,,3797,,,5061332,10/06/2020 09:00:00
,,151808,https://t.me/Covid19india_Auxiliary_Test_Data/402,,10/06/2020,,,,3911,,,5213140,11/06/2020 09:00:00
,,150305,https://t.me/Covid19india_Auxiliary_Test_Data/419,,11/06/2020,,,,4024,,,5363445,12/06/2020 09:00:00
,,143737,https://twitter.com/ICMRDELHI/status/1271652968694075393?s=09,,12/06/2020,,,,4132,,,5507182,13/06/2020 09:00:00
,,151432,https://t.me/Covid19india_Auxiliary_Test_Data/448,,13/06/2020,,,,4245,,,5658614,14/06/2020 09:00:00
,,115519,https://t.me/Covid19india_Auxiliary_Test_Data/472,,14/06/2020,,,,4332,,,5774133,15/06/2020 09:00:00
,,154935,https://t.me/Covid19india_Auxiliary_Test_Data/490,,15/06/2020,,,,4442,,,5921069,16/06/2020 09:00:00
,,163187,https://t.me/Covid19india_Auxiliary_Test_Data/509,,16/06/2020,,,,4565,,,6084256,17/06/2020 09:00:00
,,165412,https://t.me/Covid19india_Auxiliary_Test_Data/525,,17/06/2020,,,,4689,,,6249668,18/06/2020 09:00:00
,,176959,https://t.me/Covid19india_Auxiliary_Test_Data/543,,18/06/2020,,,,4822,,,6426627,19/06/2020 09:00:00
,,189869,https://t.me/Covid19india_Auxiliary_Test_Data/562,,19/06/2020,,,,4964,,,6616496,20/06/2020 09:00:00
,,190730,https://t.me/Covid19india_Auxiliary_Test_Data/577,,20/06/2020,,,,5107,,,6807226,21/06/2020 09:00:00
,,143267,https://t.me/Covid19india_Auxiliary_Test_Data/594,https://twitter.com/ICMRDELHI/status/1274913260559577090?s=19,21/06/2020,,,,5215,,,6950493,22/06/2020 09:00:00
,,187223,https://t.me/Covid19india_Auxiliary_Test_Data/610,https://twitter.com/ICMRDELHI/status/1275277617864699906?s=19,22/06/2020,,,,5355,,,7137716,23/06/2020 09:00:00
,,215195,https://twitter.com/ICMRDELHI/status/1275632600481067008/photo/1,https://t.me/Covid19india_Auxiliary_Test_Data/628,23/06/2020,,,,5516,,,7352911,24/06/2020 09:00:00
,,207871,https://twitter.com/ICMRDELHI/status/1275995927824588802,,24/06/2020,,,,5672,,,7560782,25/06/2020 09:00:00
,,215446,https://twitter.com/ICMRDELHI/status/1276356899642859520,,25/06/2020,,,,5834,,,7776228,26/06/2020 09:00:00
,,220479,https://twitter.com/ICMRDELHI/status/1276720050066452481,https://t.me/Covid19india_Auxiliary_Test_Data/686,26/06/2020,,,,5999,,,7996707,27/06/2020 09:00:00
,,231095,https://twitter.com/ICMRDELHI/status/1277084645016797190,https://t.me/Covid19india_Auxiliary_Test_Data/712,27/06/2020,,,,6173,,,8227802,28/06/2020 09:00:00
,,170560,https://twitter.com/ICMRDELHI/status/1277441381988921344,https://t.me/Covid19india_Auxiliary_Test_Data/740,28/06/2020,,,,6301,,,8398362,29/06/2020 09:00:00
,,210292,https://twitter.com/ICMRDELHI/status/1277811671281446913,https://t.me/Covid19india_Auxiliary_Test_Data/774,29/06/2020,,,,6459,,,8608654,30/06/2020 09:00:00
,,217931,https://twitter.com/ICMRDELHI/status/1278172186612609025,https://t.me/Covid19india_Auxiliary_Test_Data/804,30/06/2020,,,,6622,,,8826585,01/07/2020 09:00:00
,,229588,https://twitter.com/ICMRDELHI/status/1278529927797551104,https://t.me/Covid19india_Auxiliary_Test_Data/830,01/07/2020,,,,6794,,,9056173,02/07/2020 09:00:00
,,241576,https://twitter.com/ICMRDELHI/status/1278893457470222337,https://t.me/Covid19india_Auxiliary_Test_Data/866,02/07/2020,,,,6976,,,9297749,03/07/2020 09:00:00
,,242383,https://twitter.com/ICMRDELHI/status/1279256992754790405,https://t.me/Covid19india_Auxiliary_Test_Data/882,03/07/2020,,,,7157,,,9540132,04/07/2020 09:00:00
,,248934,https://twitter.com/ICMRDELHI/status/1279624025497427968,https://t.me/Covid19india_Auxiliary_Test_Data/920,04/07/2020,,,,7344,,,9789066,05/07/2020 09:00:00
,,180596,https://twitter.com/ICMRDELHI/status/1279980092995694592,https://t.me/Covid19india_Auxiliary_Test_Data/946,05/07/2020,,,,7480,,,9969662,06/07/2020 09:00:00
,,241430,https://twitter.com/ICMRDELHI/status/1280347767114629120,https://t.me/Covid19india_Auxiliary_Test_Data/975,06/07/2020,,,,7661,,,10211092,07/07/2020 09:00:00
,,262679,https://twitter.com/ICMRDELHI/status/1280707600015749120,https://t.me/Covid19india_Auxiliary_Test_Data/1000,07/07/2020,,,,7858,,,10473771,08/07/2020 09:00:00
,,267061,https://twitter.com/ICMRDELHI/status/1281068228542738432,https://t.me/Covid19india_Auxiliary_Test_Data/1022,08/07/2020,,,,8058,,,10740832,09/07/2020 09:00:00
,,283659,https://twitter.com/ICMRDELHI/status/1281436467487629312,https://t.me/Covid19india_Auxiliary_Test_Data/1048,09/07/2020,,,,8271,,,11024491,10/07/2020 09:00:00
,,282511,https://twitter.com/ICMRDELHI/status/1281794800195301376,https://t.me/Covid19india_Auxiliary_Test_Data/1066,10/07/2020,,,,8483,,,11307002,11/07/2020 09:00:00
,,280151,https://twitter.com/ICMRDELHI/status/1282160902507130881,https://t.me/Covid19india_Auxiliary_Test_Data/1091,11/07/2020,,,,8693,,,11587153,12/07/2020 09:00:00
,,219103,https://twitter.com/ICMRDELHI/status/1282518284718358528,https://t.me/Covid19india_Auxiliary_Test_Data/1108,12/07/2020,,,,8858,,,11806256,13/07/2020 09:00:00
,,286247,https://twitter.com/ICMRDELHI/status/1282888590230319104,https://t.me/Covid19india_Auxiliary_Test_Data/1132,13/07/2020,,,,9072,,,12092503,14/07/2020 09:00:00
,,320161,https://twitter.com/ICMRDELHI/status/1283242773781467136,https://t.me/Covid19india_Auxiliary_Test_Data/1159,14/07/2020,,,,9313,,,12412664,15/07/2020 09:00:00
,,326826,https://twitter.com/ICMRDELHI/status/1283601928279080960/photo/1,https://t.me/Covid19india_Auxiliary_Test_Data/1177,15/07/2020,,,,9558,,,12739490,16/07/2020 09:00:00
,,333228,https://twitter.com/ICMRDELHI/status/1283977904246845442,https://t.me/Covid19india_Auxiliary_Test_Data/1189,16/07/2020,,,,9808,,,13072718,17/07/2020 09:00:00
,,361024,https://twitter.com/ICMRDELHI/status/1284329467804966912,https://t.me/Covid19india_Auxiliary_Test_Data/1208,17/07/2020,,,,10079,,,13433742,18/07/2020 09:00:00
,,358127,https://twitter.com/ICMRDELHI/status/1284689929360928771,https://t.me/Covid19india_Auxiliary_Test_Data/1225,18/07/2020,,,,10347,,,13791869,19/07/2020 09:00:00
,,256039,https://twitter.com/ICMRDELHI/status/1285050262583865355,https://t.me/Covid19india_Auxiliary_Test_Data/1236,19/07/2020,,,,10539,,,14047908,20/07/2020 09:00:00
,,333395,https://twitter.com/ICMRDELHI/status/1285414282545393664,https://t.me/Covid19india_Auxiliary_Test_Data/1258,20/07/2020,,,,10789,,,14381303,21/07/2020 09:00:00
,,343243,https://twitter.com/ICMRDELHI/status/1285783025494581249,https://t.me/Covid19india_Auxiliary_Test_Data/1284,21/07/2020,,,,11047,,,14724546,22/07/2020 09:00:00
,,350823,https://twitter.com/ICMRDELHI/status/1286141514586836993,https://t.me/Covid19india_Auxiliary_Test_Data/1314,22/07/2020,,,,11310,,,15075369,23/07/2020 09:00:00
,,352801,https://twitter.com/ICMRDELHI/status/1286510593147510785,https://t.me/Covid19india_Auxiliary_Test_Data/1342,23/07/2020,,,,11575,,,15428170,24/07/2020 09:00:00
,,420898,https://twitter.com/ICMRDELHI/status/1286867899387281408,https://t.me/Covid19india_Auxiliary_Test_Data/1361,24/07/2020,,,,11891,,,15849068,25/07/2020 09:00:00
,,442263,https://twitter.com/ICMRDELHI/status/1287231590263734273,https://t.me/Covid19india_Auxiliary_Test_Data/1375,25/07/2020,,,,12222,,,16291331,26/07/2020 09:00:00
,,515472,http://twitter.com/ICMRDELHI/status/1287592304845320192,https://t.me/Covid19india_Auxiliary_Test_Data/1397,26/07/2020,,,,12609,,,16806803,27/07/2020 09:00:00
,,528082,https://twitter.com/ICMRDELHI/status/1287966108058677249,https://t.me/Covid19india_Auxiliary_Test_Data/1415,27/07/2020,,,,13005,,,17334885,28/07/2020 09:00:00
,,408855,http://twitter.com/ICMRDELHI/status/1288314973576245249,https://t.me/Covid19india_Auxiliary_Test_Data/1427,28/07/2020,,,,13312,,,17743740,29/07/2020 09:00:00
,,446642,http://twitter.com/ICMRDELHI/status/1288670449858048002,https://t.me/Covid19india_Auxiliary_Test_Data/1445,29/07/2020,,,,13647,,,18190382,30/07/2020 09:00:00
,,642588,http://twitter.com/ICMRDELHI/status/1289043276205457410,https://t.me/Covid19india_Auxiliary_Test_Data/1464,30/07/2020,,,,14129,,,18832970,31/07/2020 09:00:00
,,525689,https://twitter.com/ICMRDELHI/status/1289405341722001408?s=20),https://t.me/Covid19india_Auxiliary_Test_Data/1478,31/07/2020,,,,14524,,,19358659,01/08/2020 09:00:00
,,463172,https://twitter.com/ICMRDELHI/status/1289776921459359745,https://t.me/Covid19india_Auxiliary_Test_Data/1492,01/08/2020,,,,14871,,,19821831,02/08/2020 09:00:00
,,381027,https://twitter.com/ICMRDELHI/status/1290136251295657986,https://t.me/Covid19india_Auxiliary_Test_Data/1508,02/08/2020,,,,15157,,,20202858,03/08/2020 09:00:00
,,661892,http://twitter.com/ICMRDELHI/status/1290484131848024066,https://t.me/Covid19india_Auxiliary_Test_Data/1522,03/08/2020,,,,15654,,,20864750,04/08/2020 09:00:00
,,619652,http://twitter.com/ICMRDELHI/status/1290849286985404417,https://t.me/Covid19india_Auxiliary_Test_Data/1540,04/08/2020,,,,16119,,,21484402,05/08/2020 09:00:00
,,664949,http://twitter.com/ICMRDELHI/status/1291210644855730176,https://t.me/Covid19india_Auxiliary_Test_Data/1560,05/08/2020,,,,16617,,,22149351,06/08/2020 09:00:00
,,639042,http://twitter.com/ICMRDELHI/status/1291581826817908737,https://t.me/Covid19india_Auxiliary_Test_Data/1574,06/08/2020,,,,17097,,,22788393,07/08/2020 09:00:00
,,598778,http://twitter.com/ICMRDELHI/status/1291945755314249731,https://t.me/Covid19india_Auxiliary_Test_Data/1596,07/08/2020,,,,17546,,,23387171,08/08/2020 09:00:00
,,719364,http://twitter.com/ICMRDELHI/status/1292303919930945537,https://t.me/Covid19india_Auxiliary_Test_Data/1622,08/08/2020,,,,18086,,,24106535,09/08/2020 09:00:00
,,477023,https://twitter.com/ICMRDELHI/status/1292671584549789696,https://t.me/Covid19india_Auxiliary_Test_Data/1642,09/08/2020,,,,18444,,,24583558,10/08/2020 09:00:00
,,698290,http://twitter.com/ICMRDELHI/status/1293043854820519936,https://t.me/Covid19india_Auxiliary_Test_Data/1660,10/08/2020,,,,18968,,,25281848,11/08/2020 09:00:00
,,733449,https://twitter.com/ICMRDELHI/status/1293400350183940096,https://t.me/Covid19india_Auxiliary_Test_Data/1677,11/08/2020,,,,19518,,,26015297,12/08/2020 09:00:00
,,830391,https://twitter.com/ICMRDELHI/status/1293766272744697856?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1692,12/08/2020,,,,20141,,,26845688,13/08/2020 09:00:00
,,848728,http://twitter.com/ICMRDELHI/status/1294118346384797697,https://t.me/Covid19india_Auxiliary_Test_Data/1704,13/08/2020,,,,20778,,,27694416,14/08/2020 09:00:00
,,868679,http://twitter.com/ICMRDELHI/status/1294485146712698880,https://t.me/Covid19india_Auxiliary_Test_Data/1724,14/08/2020,,,,21429,,,28563095,15/08/2020 09:00:00
,,746608,http://twitter.com/ICMRDELHI/status/1294841110259326976,https://t.me/Covid19india_Auxiliary_Test_Data/1739,15/08/2020,,,,21989,,,29309703,16/08/2020 09:00:00
,,731697,http://twitter.com/ICMRDELHI/status/1295198089125355521,https://t.me/Covid19india_Auxiliary_Test_Data/1752,16/08/2020,,,,22538,,,30041400,17/08/2020 09:00:00
,,899864,https://twitter.com/ICMRDELHI/status/1295561779540459520,https://t.me/Covid19india_Auxiliary_Test_Data/1771,17/08/2020,,,,23213,,,30941264,18/08/2020 09:00:00
,,801518,http://twitter.com/ICMRDELHI/status/1295929066009182210,https://t.me/Covid19india_Auxiliary_Test_Data/1791,18/08/2020,,,,23815,,,31742782,19/08/2020 09:00:00
,,918470,https://twitter.com/ICMRDELHI/status/1296296417372250113,https://t.me/Covid19india_Auxiliary_Test_Data/1804,19/08/2020,,,,24504,,,32661252,20/08/2020 09:00:00
,,805985,http://twitter.com/ICMRDELHI/status/1296650359285243905,https://t.me/Covid19india_Auxiliary_Test_Data/1820,20/08/2020,,,,25109,,,33467237,21/08/2020 09:00:00
